복지시설 현황,안동시 복지시설 현황 자료,2015-05-06,2016-07-06,공보전산실,054-840-6076,['보육시설현황 목록 조회']
오산시 CCTV현황,오산시 CCTV현황,2015-01-21,2015-02-02,정보통신과,031-8036-7343,['방범용CCTV 목록 조회']
해운대구 신착도서현황 조회 서비스,해운대구 신착도서현황 정보를 제공한다.,2014-11-06,2014-11-06,,,"['신착도서 목록조회', '신착도서 상세정보 조회']"
김천시 사회적기업,"김천시 사회적기업(주소,사회서비스분야,연락처등) 정보 제공",2015-06-08,2015-06-10,정보통신과,054-420-6075,['사회적기업 정보 제공']
장애인콜택시 이용현황,장애인콜택시 일별 이용현황,2014-12-23,2014-12-23,기획경영실(전산정보팀),02-2290-6514,[]
국토교통부 산책로,요약 운동을 목적으로 하거나 즐기기 위해 걷는 산책을 위한 장소,2017-04-13,2017-04-17,공간정보진흥과,044-201-3475,[]
한국방송통신전파진흥원_라디오 채널 정보,"사용자가 주소 또는 자신의 위치 정보를 통해 해당 지역에서 청취가 가능한 라디오 채널정보(AM,FM) 정보 및 주파수 정보를 제공 받을 수 있습니다.",2017-01-17,2017-01-18,공공정보사업부,061-350-1453,['라디오 채널 정보']
항공우주연구원 사업화 우수기술,한국항공우주연구원이 보유한 기술 중에서 기술이전 등 사업화 하기 좋은 우수한 기술을 별도 관리,2017-04-28,2017-05-02,전산팀,042-870-3666,[]
김천시 약국 현황,"김천시 약국(소재지,전화번호,약국명등) 정보 제공",2015-06-05,2015-06-08,정보통신과,054-420-6075,['다소비 일반의약품 판매가격 조사결과 검색 서비스']
경상북도 해양관측조사정보,경상북도 바다내 수온정보등 관측정보를 제공합니다.,2015-04-01,2015-04-02,정보통신과,054-880-2992,['주요바다 수온정보 조회']
환경방사선량 정보,오픈 api를 통한 방사선량 정보 제공,2014-12-24,2014-12-26,경영지원실,,['주변지역 방사선량 실시간 데이터 조회']
해안선도,해안선정보,2017-07-24,2017-07-26,국가공간정보센터,044-201-3495,[]
가축자원분뇨화관리 현황,"축산농가 가축분뇨처리 및 자원화에 관한 자료로 축산농가, 액비저장조 관리 현황",2017-02-07,2017-02-09,정보통계정책담당관실,044-201-1414,[]
국가별 광업관련법규,국가별 광물자원 및 광물산업과 관련한 법규,2015-12-09,2015-12-10,,,['국가별 광업법령']
해외지원사업정보,"해외 문화예술 지원사업 레지던스 정보, 해외 문화예술 지원사업 지원금 정보",2015-08-05,2017-06-07,재무관리부,061-900-0212,['해외지원사업 레지던스 정보']
용수관련정보,"전국 단위의 생활용수, 농업용수, 공업용수 이용량 등을 제공",2017-07-17,2017-07-18,예보통제과,02-590-9943,[]
부산광역시_민박펜션업소,"부산시 민박/펜션업소 정보(업소명, 장소 등)를 제공합니다.",2017-01-03,2017-12-21,정보화담당관실,051-888-2362,"['민박/펜션업소 목록정보', '민박/펜션업소 상세정보']"
도로위치인식표지,"도시고속도로 가로등주에 부착된 번호를 검색하여 도로의 위치 등을 확인하고
시설물별 관리주체에 신고사항을 신속하게 접수하여 서비스를 받을 수 있는 위치 정보",2014-12-22,2017-01-17,,02-2290-6138,['도로위치인식표지 정보 조회 서비스']
해운대구 모범음식점 정보 조회 서비스,해운대구 모범음식점 정보를 제공한다.,2014-11-06,2014-11-06,,,"['모범음식점 목록조회', '모범음식점 상세정보 조회']"
울산광역시 무료급식소,"울산광역시 무료급식소 정보(급식장소, 급식일 등) 제공",2017-04-25,2017-05-02,스마트시티담당관,052-229-2361,['울산광역시 무료급식소 목록']
울산광역시_보안등정보,"울산광역시 보안등 현황(위치명, 설치개수, 주소, 관리기관명 등) 제공",2017-09-07,2017-09-08,스마트시티담당관,052-229-2361,['울산광역시 보안등정보 목록']
문화예술 카드 가맹점 정보,"문화누리카드는 경제적, 사회적, 지리적 어려움으로 문화예술을 생활 속에서 누리기 힘든 분들에게 지원하는 공연, 전시, 영화 등 다양한 문화예술프로그램의 관람 및 음반, 도서 구입과 더불어 국내 여행과 스포츠 관람을 이용하실 수 있는 카드로 지역별 사용할 수 있는 문화누리카드의 오프라인 사용처(가맹점) 현항 서비스를 제공합니다.",2015-08-05,2017-06-07,재무관리부,061-900-0212,['문화누리카드오프라인 사용처(가맹점)']
한국과학기술원 공동연구장비 정보,한국과학기술원의 공동연구장비 정보를 조회하기 위한 서비스,2015-03-24,2017-05-04,중앙분석센터,042-350-2402,['한국과학기술원 공동연구장비 목록']
한국산업기술평가관리원 지역발전유관기관 정보,"O 지역발전을 위해 설립된 지역단체들의 기관명,소재지,기관주요업무,홈페이지 정보를 제공
O 각 기관들이 추진 중인 사업과 업무를 기재하여 대국민에게 지역사업 및 기관정보 제공
- 분야,기관유형,기관명,설립일,소재지,주소,전화번호,홈페이지주소,주요업무,주요사업",2016-06-29,2016-07-19,정보화팀,042-712-9156,['한국산업기술평가관리원 지역발전유관기관']
김천시 벽보게시대 및 현수막 게시대 현황,"김천시 벽보게시판(면수,규격,위치) 정보 제공",2015-06-05,2015-06-08,정보통신과,054-420-6075,['벽보게시판 현황 제공']
[기타] 한국전통 공예정보,"1. 개요
한의학 분야 고전문헌뿐만 아니라 전통지식 관련 한국논문, 전통지식 관련 한국 특허문헌까지 포함하는 것으로서, 과거에서부터 현대까지 이르는 전통지식을 집대성한 정보를 API(REST방식)로 제공합니다.

2. 세부 정보 내용
① 공예정보: 전통공예품 관련 자료를 국내 고문헌에서 확보(원문 텍스트, 원문 이미지, 한글번역 및 시각자료 등) 하여, 디지털화하여 제공하는 정보(XML)
② 특허 심사 시 선행기술 조사 및 참증 자료로 활용(XML)

3. 데이터 출처
한국전통지식포털 홈페이지
http://www.koreantk.com/",2017-09-20,2017-09-26,산업재산창출전략팀,042-481-5156,"['전통공예 필드검색', '전통공예 자유검색', '전통공예 상세정보 조회', '전통공예 출전목록조회', '전통공예 출전상세정보 조회']"
해양수산부 해역이용협의정보,"해양환경 영향평가정보, 해역이용 협의정보, 해역이용 영향평가정보, 환경영향 평가
및 사전 환경성 정보를 제공합니다.",2017-12-19,2018-01-09,해양생태과,044-200-5327,['해양환경영향평가정보 조회']
경기도 수원시 가격동향,"수원시 시홈페이지 게시판에 있는 생활 밀접품목 가격동향, 생활 밀접품목 가격동향 월별 물가동향, 중대형 할인매장 가격동향 등의 정보 제공",2015-12-01,2018-01-08,-,031-228-2306,"['생활밀접품목가격동향상세', '생활밀접품목가격동향목록', '생활밀접품목가격동향월별물가동향 상세', '생활밀접품목가격동향월별물가동향 목록', '중대형할인매장가격동향 상세', '중대형할인매장가격동향 목록', '지역소식 상세', '지역소식 목록']"
산림공간 정보,(등산로정보) 등산로 파일 다운 및 등산안내서비스 연결,2014-12-18,2018-05-09,정보통계담당관실,042-481-8899,['등산로 위치 정보']
[산업인력]국가전문자격 시험 시행일정 정보,국가전문자격 시험 시행일정을 조회할 수 있습니다.,2015-01-30,2017-10-24,정보화사업1팀,052-714-8157,['국가전문자격 시험 시행일정 조회']
특별여행 경보제도,"외교부에서 지정하는 여행 유의, 자제, 제한 등 해외 여행경보 대상국가 목록 및 상세정보를 조회할 수 있다. 특별여행경보 제도는 단기적인 위험 상황이 발생하는 경우에 발령하고 있습니다.",2017-09-15,2017-09-18,정보화담당관실,02-2100-7163,"['특별여행경보제도목록조회', '특별여행경보제도상세조회']"
체험마을 체험프로그램 정보,(체험마을정보) 체험마을의 체험거리 정보를 제공한다.,2014-11-26,2016-06-14,농어촌자원개발원,031-299-7860,"['자연생태체험 조회', '건강레포츠 조회', '산·어촌 생활체험 조회', '기타체험 조회', '농작물경작체험 조회', '공예(만들기체험) 조회', '음식체험 조회', '전통문화체험 조회']"
체험마을 잠잘거리 정보,(체험마을정보) 체험마을의 숙박 정보를 제공한다.,2014-11-26,2016-06-14,농어촌자원개발원,031-299-7860,"['체험마을 민박 조회', '체험마을 단체숙박 조회', '체험마을 주변숙박 조회']"
소각처리현황,대구환경공단 소각처리현황을 조회하기 위한 서비스로 소각처리현황 정보를 조회할 수 있다.,2014-11-03,2014-12-05,경영지원처,053-605-8016,['소각처리현황']
해양생물 서식 정보,"(해양생태계통합정보) 전국 연안 해역별 해양생물 사진,설명,서식위치(위경도 기반) 등 정보를 제공",2015-12-18,2017-12-28,-,02-3498-8557,"['해양생물 사진/설명/서식지 조회', '해양생물 서식지 GIS 정보조회']"
군수품조달정보 입찰결과,(군수품조달정보) 국방전자조달시스템 입찰결과 정보 Open API 서비스 목록입니다.,2016-06-01,2018-02-02,정보화기획담당관실,02-2079-6782,"['국내 경쟁입찰결과 목록', '국내 경쟁입찰결과 상세', '국내 공개수의협상결과 목록', '국내 공개수의협상결과 상세', '국외 경쟁입찰결과 목록', '국외 경쟁입찰결과 상세', '국외 협상결과 목록', '시설 경쟁입찰결과 목록', '시설 경쟁입찰결과 상세', '시설 공개수의협상결과 목록', '시설 공개수의협상결과 상세', '물품 경쟁입찰 참가업체', '물품 경쟁입찰 복수에비가격', '물품 공개수의 참가업체', '물품 공개수의 복수예비가격', '시설 경쟁입찰 참가업체', '시설 경쟁입찰 복수예비가격', '시설 공개수의 참가업체', '시설 공개수의 복수예비가격']"
경상북도 강우량 정보,경상북도 23개 시군의 강우량 현황을 제공합니다.,2017-04-07,2018-01-26,정보통신과,054-880-2992,['경상북도 23개 시군 강우량 정보 조회']
실시간 전력수급현황 조회 서비스,"전력거래정보(판매량), 실시간 발전량 및 전력수급현황",2015-12-21,2017-10-25,미래산업전략부,070-7713-8655,['전력거래정보 서비스']
국토교통부 지진대피소정보,지진대피소는 지진 발생시 근처의 대피소 정보를 제공합니다,2017-05-15,2017-05-16,공간정보진흥과,044-201-3475,[]
한국남동발전 채용 정보,"한국남동발전 고졸, 대졸, 인턴사원 및 무기직 채용 정보입니다.",2016-08-22,2017-01-03,ICT융합부,070-8898-1823,['한국남동발전 채용정보 조회']
김천시 배수장 현황,"김천시 배수펌프장 및 배수문(위치, 관리부서, 시설명등) 현황 제공",2015-06-05,2015-06-08,정보통신과,054-420-6075,['배수펌프장 및 배수문 현황 검색 서비스']
담배소매인지정 현황,김천시 담배소매인 지정 현황,2015-05-29,2015-06-03,,,['담배소매인지정']
경상남도 의령군_문화재,관내 문화재 정보,2016-10-18,2016-10-25,재무과,054-570-2335,"['의병박물관 유물 현황 목록', '의병박물관 유물 사진']"
보성군 문화재 정보 서비스,보성군의 문화재 정보를 제공합니다.,2015-10-06,2015-10-08,총무과,061-850-5144,"['문화재자료 목록', '지방지정문화재 목록', '국가지정문화재 목록']"
김천시 무료와이파이,"김천시 공공와이파이 정보(설치장소명, 서비스제공사명, 주소등) 제공",2015-10-26,2017-11-29,정보통신과,054-420-6075,['무료와이파이 설치 정보']
김천시 전통시장,"김천시 전통시장 (소재지, 개장일, 주차시설등) 정보 제공",2015-06-05,2017-12-04,정보통신과,054-420-6075,['전통시장 현황 검색 서비스']
일반복지시설 현황,"김천시 일반복지시설(아동복지시설, 노인복지시설 등)",2015-06-05,2017-12-04,,,['지역아동센터 현황 검색 서비스']
[특허] 해외특허 공보(REST),"1. 개요
지식재산 주요국(기구)인 미국, 유럽, PCT, 중국, 일본의 특허 공개공보 및 등록공보를 API(REST방식)로 제공합니다.

2. 세부 정보 내용
① 검색: 일반검색 및 항목별검색 기능(XML)
② 서지데이터: 출원번호, 발명의 명칭, 해외서지, 청구항, 미국특허문헌 등(XML)
③ 도면/전문데이터: 공개 및 공고 전문, 대표도면(다운로드 경로)
④ 부가기능: 코드조회, 기간별 출원건수, 자료축적현황 등(XML)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr, Web)http://plus.kipris.or.kr",2014-12-24,2014-12-24,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['해외특허 공보-유틸리티(REST)']
경상남도 창녕군_교육정보,"창녕군 평생교육, 정보화교육, 여성회관 교육등 창녕군에서 행사하는 전체교육에 대한 정보를 오픈 API로 제공",2016-05-09,2016-05-16,행정과,055-530-1244,['창녕군 교육정보 조회']
충청북도 농촌인력구인구직 현황,"농촌인력 구인구직(구인/구직구분, 내용, 작성자, 등록일) 정보",2017-11-24,2017-11-28,,,[]
취업정보,안동시 취업정보 제공,2015-05-06,2017-12-18,공보전산실,054-840-6076,"['구인/구직 목록 조회', '구인/구직 세부내용 조회']"
[특허] 특허패밀리(REST),"1. 개요
동일한 발명을 여러 국가에 출원한 경우, 각국에 출원된 특허의 연계 정보를 API(REST방식)로 제공합니다.

2. 세부 정보 내용
패밀리정보조회: 유럽 특허청 DOCDB(주요국 특허정보)의 연계 출원 정보 조회기능(XML)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr, Web)http://plus.kipris.or.kr",2014-12-04,2017-01-20,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,['특허패밀리정보조회(국내출원번호)']
건축물에너지효율 등급정보,"건물의 설계도서를 통하여 난방, 냉방, 급탕 등 에너지소요량과 이산화탄소 발생량을 평가하여 에너지성능에 따라 10개 등급(1+++ ~7등급)으로 인증받은 건물정보 제공",2017-05-02,2017-05-02,통계분석실,031-260-4566,[]
광종별 일반현황,광종에 대한 일반현황 정보 제공,2015-12-09,2015-12-10,,,['광종별 요약정보']
표준물질생산기관,표준물질생산기관 인정 업무처리 관련 정보,2014-04-23,2014-04-23,,,[]
개성의 문화유적,개성의 문화유적 연구자료 데이터 서비스,2016-08-23,2016-08-24,조사연구기록과,063-280-1492,['개성의 문화유적 정보']
국립문화재연구소 금석문 정보,금석문 연구자료 데이터 서비스,2016-08-23,2016-08-24,조사연구기록과,063-280-1492,['금석문 정보 API']
김천시 CCTV 현황,"김천시 CCTV 설치현황(설치장소, 관리부서, 전화번호) 정보 제공",2015-06-05,2018-01-15,정보통신과,054-420-6075,['무단투기 CCTV 설치 현황 정보 제공']
남도음식명가 정보,전라남도내 음식 명가 정보,2014-12-24,2014-12-24,,,"['맛집 목록', '맛집 상세정보', '맛집 파일정보', '맛집 메뉴목록', '맛집 메뉴 파일정보']"
공주시청 문화관광,"공주시청 음식점, 숙박업소 정보를 제공합니다.",2015-04-02,2015-04-02,-,041-840-8103,"['공주 음식점 조회', '공주 숙박업소']"
한국남동발전 산업재산권 정보,"남동발전 보유 특허의 사외 개방 및 협업을 통한 민간 활용 활성화 및 사내보유 이전기술을
활용한 상품화로 민간 및 중소기업 매출증대에 기여",2016-08-22,2017-01-03,ICT융합부,070-8898-1823,['한국남동발전 산업재산권 조회']
전북북도 전주시_장사시설 현황,"전라북도 전주시의 장사시설 현황 (공설/사설구분, 시설명, 전화번호, 주소 등)",2018-01-24,2018-01-25,자치행정과,063-281-2136,['장사시설 현황 목록']
부산시설공단 공원시설 현황,"부산시설공단 운영중인 공원시설의 이용 정보
(중앙공원, 어린이공원, 금강공원, 태종대유원지, 용두산공원, 부산시민공원, 송상현광장)",2016-10-26,2016-11-04,혁신정보팀,051-860-7626,['부산시설공단 공원시설 프로그램 조회']
김천시 어린이집 현황,김천시 어린이집 현황,2015-09-10,2015-10-07,,,['어린이보호구역 정보 제공']
농업재해보험연감,농업재해보험연감 자료를 분석하여 통계정보 제공,2017-02-07,2017-02-09,정보통계정책담당관실,044-201-1414,[]
울산광역시 보호수,"울산광역시 보호수 정보(위치, 지정일, 나무종류 등) 제공",2017-04-25,2017-05-02,스마트시티담당관,052-229-2361,['울산광역시 보호수 목록']
후원방문판매사업자 정보,"(통신판매사업자정보)사업자정보(회사명, 등록번호, 대표이사) 목록과 사업자 상세정보(후원방문판매번호, 후방문판매판매허가일자, 상호, 사업자등록번호, 대표자명, 전화번호, 전자우편(E-mail), 업소상태, 사업장소재지, 자본금 등)를 제공한다.",2015-12-31,2016-01-25,정보화담당관,,"['지역별 후원방문사업자 정보 조회', '업소상태별 후원방문사업자 정보 조회', '상호명별 후원방문사업자 정보 조회', '사업자등록번호별 후원방문사업자 정보 조회', '대표자명별 후원방문사업자 정보 조회', '후원방문사업자 상세정보 조회', '후원방문사업자 정보 조회']"
전라북도 전주시_가로수길정보,전라북도 전주시_가로수길정보표준데이터,2017-11-22,2017-11-23,자치행정과,063-281-2136,['가로수길 목록']
부산도시철도 유실물정보,부산도시철도 1 ~ 4호선 유실물 현황 정보 제공,2016-02-18,2017-01-16,기획조정실 정보화단,051-640-7174,['부산 도시철도 유실물 정보']
국토교통부_건물에너지정보(광주광역시 서구),"’15~’16년 광주광역시 서구 내 건물의 실시간 전기 사용량 정보를 제공한다. 해당 서비스는 아이스마트 건물별 일 사용량, 아이스마트 인구당 일 사용량, 아이스마트 면적당 일 사용량에 대한 항목조회가 가능하다.(실증사업용 데이터)",2018-04-03,2018-04-03,녹색건축과,044-201-3773,"['아이스마트 건물별 일사용량 조회(시범운영)', '아이스마트 인구당 일사용량 조회(시범운영)', '아이스마트 면적당 일사용량 조회(시범운영)']"
"김천시 문화예술회관 공연,전시 일정","김천시 문화예술회관 공연,전시 일정",2015-06-08,2017-02-23,,,['체육대회 검색 서비스']
김천시 공공시설개방정보,"공공시설(개방시설명, 개방장소명, 운영시간, 사용료등)개방정보 제공",2015-10-15,2017-02-23,정보통신과,054-420-6075,['공공시설개방정보 제공']
울산광역시 무더위쉼터,"울산광역시 무더위쉼터 정보(쉼터위치, 냉방시설 개수 등) 제공",2017-04-25,2017-04-28,스마트시티담당관,052-229-2361,['울산광역시 무더위쉼터 목록']
경상남도 전통시장 정보,"경상남도 내 전통시장 정보 제공
- 시군명, 시장명, 시장주소, 장날, 전화번호 등",2018-04-09,2018-04-13,정보통계담당관,055-211-2653,['경상남도 전통시장 정보']
공항 온실가스,온실가스 배출량 실적 관리,2014-12-24,2014-12-24,,,['온실가스조회서비스']
KIST 기술이전 DB,KIST에서 보유중인 기술이전 가능한 특허 DB,2014-12-18,2014-12-19,정보통신팀,02-958-6292,['사업화유망기술조회']
일반음식점 현황,일반음식점 현황,2015-01-26,2015-02-23,총무과,054-330-6086,['영천시 일반음식점현황 서비스 조회']
공동주택 에너지 사용 정보,"(공동주택입찰정보)공동주택 에너지 사용 정보

단지 에너지 사용량 및 사용금액
시군구 평균 에너지 사용금액
시도 평균 에너지 사용금액
전국 평균 에너지 사용금액

에 대한 데이터를 제공",2015-12-29,2015-12-30,주택건설공급과,,"['단지 공동주택 에너지 사용량 정보조회', '단지 평균 에너지 사용금액 정보조회', '시군구 평균 에너지 사용금액 정보조회', '시도 평균 에너지 사용금액 정보조회', '전국 평균 에너지 사용금액 정보조회']"
산림교육프로그램,"산림청에서 제공하는 산림교육 프로그램명, 교육 내용 등을 제공",2015-12-04,2017-09-26,정보통계담당관실,042-481-8899,['산림교육 시설 및 프로그램 운영 정보 검색']
갯벌 정보,"(해양생태계통합정보) 전국 갯벌의 위치(위경도) 및 주요 갯벌에 위치한 체험관, 박물관 등 갯벌방문센터 정보",2015-12-22,2016-08-25,-,02-3498-8557,"['갯벌 방문센터 위치 GIS 정보조회', '갯벌 방문센터 정보조회', '갯벌 위치 GIS 정보조회']"
김천시 농어촌체험마을,"김천시 농어촌체험마을 정보(체험마을명, 체험내용, 주소등) 제공",2015-10-26,2017-02-23,정보통신과,054-420-6075,['농어촌체험마을 정보 제공']
체험마을 먹거리 정보,(체험마을정보) 체험마을의 먹거리 정보를 제공한다.,2014-11-26,2016-06-14,농어촌자원개발원,031-299-7860,"['체험식단 조회', '동네맛집 조회', '농가맛집 조회']"
기상정보,오픈api플 통한 중저준위방사성폐기물처분시설 기상정보 제공,2014-12-24,2017-10-19,경영지원실,,['주변지역 기상정보 실시간 데이터 조회']
전라북도 정읍시_민방위대피시설,전라북도 정읍시_민방위대피시설표준데이터,2018-05-29,2018-05-31,창조정보과,063-539-5411,['민방위대피시설 목록']
주간농사정보 DB,농촌진흥청의 주간농사정보,2016-06-17,2016-06-28,지식정보화담당관실,063-238-0490,['주간 농업정보 및 품목별 농사정보']
김천시 공영주차장 현황,김천시 노상 노외 주차장 현황,2015-06-11,2017-02-23,,,['주차장현황 검색 서비스']
경상북도 도로 정보,"경상북도의 도로, 도로사업추진현황 등 다양한 정보를 제공합니다.",2015-04-01,2015-04-02,정보통신과,054-880-2992,['주요 도로사업 추지 조회']
약국 현황,안동시 의약관리 목록 조회,2015-05-12,2016-07-06,공보전산실,054-840-6076,['의약관리현황 목록 조회']
김천시 체육시설 및 관련업 현황,"김천시 체육시설 및 관련업 현황(위치,업종,상호명) 정보 제공",2015-06-08,2015-06-10,정보통신과,054-420-6075,['체육시설 현황 검색 서비스']
김천시 하수처리시설,"김천시 하수처리시설(소재지,위탁업체명,시설명등) 정보 제공",2015-06-08,2015-06-10,정보통신과,054-420-6075,['하수처리시설 정보']
해운대구 사회복지시설 정보조회 서비스,해운대구 사회복지시설 정보를 제공한다.,2014-11-06,2014-11-06,,,"['사회복지시설 목록조회', '사회복지시설 상세정보 조회']"
해운대구 행정기관 정보 조회 서비스,해운대구 행정기관 정보를 제공한다.,2014-11-06,2014-11-06,,,"['행정기관 목록조회', '행정기관 상세정보 조회']"
한국과학기술원 국가RnD수탁과제 정보,한국과학기술원 국가RnD수탁과제 목록입니다.,2015-08-28,2017-04-19,,042-525-8842,['한국과학기술원 국가RnD수탁과제 목록']
김천시 보건지소 및 보건의 배치 현황,"김천시 보건지소 및 보건의 배치(한의과,치과,의과,구분명) 현황 제공",2015-06-05,2017-12-04,정보통신과,054-420-6075,['보건지소 현황 검색 서비스']
경기도 대학교 관련 현황,"경기도 내의 대학교의 학과정보, 유형별 입학생수, 졸업생 취업현황 등의 정보를 제공합니다.",2017-11-23,2017-11-30,빅데이터담당관,031-8008-5589,[]
농촌진흥청 천연작물보호소재 정보,"과명, 학명, 국명 등의 검색 기능 및 정보를 제공하고 각 식물별 화합물 및 참고 문헌리스트를 제공합니다.",2016-06-17,2017-05-22,지식정보화담당관실,063-238-0490,['식물목록별 참고문헌 정보서비스']
항공우주연구원 특허 기술,"한국항공우주연구원이 보유하고 있는 모든 특허 기술(특허명, 내용) 정보를 실시간으로 제공",2017-04-28,2017-05-02,전산팀,042-870-3666,[]
출판사 및 인쇄소 현황,"등록된 출판사 및 인쇄소 정보로 신고(등록)번호, 신고일자, 사업체명, 전화번호, 영업상태, 업종 등의 정보",2014-09-26,2014-10-01,전산정보과,02-330-8961,[]
표준화 교육자료,"""표준의활용과 필요성에 대한 쉬운접근을위해 스토리카툰형식으로 개발된 자료로서 소비자 및 수출기업이 표준의 중요성에 대해 쉽게 알 수 있는 내용을 구성됨.
표준의 중요성 이외에도 기업활용에서 표준을 활용하는 방법, 표준화 추진방법으로 구성되어있음.""",2015-04-29,2015-05-06,-,,['표준으로 시장을 지배하는 법']
국제시험인증기관,기술규제 관련 국제 시험 및 인증기관 기본정보 제공,2014-04-23,2014-04-23,,,[]
고문헌,고문헌 연구자료 데이터 서비스,2016-08-18,2016-08-23,조사연구기록과,063-280-1492,['고문헌 정보']
해운대구 쇼핑상점 정보 조회 서비스,해운대구 쇼핑상점 정보를 제공한다.,2014-11-06,2014-11-06,,,"['쇼핑상점 상세정보 조회', '쇼핑상점 목록조회']"
공주시청 주요통계,공주시청 주요통계 서비스입니다.,2015-04-02,2015-04-02,-,041-840-8103,"['공주 인구통계', '공주 차량통계', '공주 사업체통계', '공주시 토지 현황통계']"
경기도 수원시 여행관광 DB,여행관광 DB,2016-01-06,2016-02-16,,,['수원시 문화재단 관광안내 정보']
성동구도시관리공단 체육시설 대관정보 조회,"성동구민종합체육센터, 열린금호교육문화관, 마장국민체육센터 등 성동구도시관리공단 체육시설에서 제공하는 대관장소, 위치, 예약가능여부 등 정보 공개",2015-08-24,2015-08-27,안전기술팀,02-2204-7954,['대관정보조회']
김천시 의료기기판매업소,"김천시 의료기기판매업소(주소,전화번호,업소명등) 정보 제공",2015-06-05,2017-12-04,정보통신과,054-420-6075,['치과기공소 현황 검색 서비스']
고속도로 도로전광표지 목록,고속도로 도로전광표지 목록,2014-12-15,2017-05-31,ICT센터,031-8098-6727,['VMS 본부별 목록조회']
경상남도 창녕군_날씨정보,창녕군 현재 날씨정보 오픈API 제공,2016-05-09,2016-05-16,행정과,055-530-1244,['현재 창녕군 날씨정보']
경제림육성단지구역도(산림공간정보 1:25000),"경제림 육성단지 지리정보(좌표, 구역 등) 제공",2015-12-04,2017-09-26,정보통계담당관실,042-481-8899,['경제림육성단지구역도 정보 검색']
적격대출금리정보,적격대출금리정보를 api방식으로 제공,2014-11-20,2017-06-16,.,,['적격대출금리정보']
해운대구 관광지정보 조회 서비스,해운대구 관광지 정보를 제공한다,2014-11-06,2015-11-23,,,"['관광지 정보 조회', '관광지 상세정보 조회', '영화속 해운대 명소 정보조회', '해운대 해양스포츠 정보조회']"
KS인증품목,KS인증품목 관련 정보,2014-04-23,2014-04-23,,,[]
공항상업시설 안내,공항 상업시설 현황,2015-02-16,2017-09-26,정보계획팀,02-2660-2680,['공항 상업시설 임대계약 정보']
항만시설(선석)정보조회 서비스,울산항의 항만시설(선석)정보를 조회할 수 있다.,2017-02-28,2017-10-30,물류정보팀,052-228-5332,"['선석신청지정정보 목록조회', '선박재박정보 목록조회']"
모병 구비서류,"군, 군사특기, 제출서류코드, 제출구분 등",2016-02-01,2017-01-03,,,['구비서류목록조회서비스']
통신판매업 등록 현황,김천시 통신판매업 등록 현황,2015-05-29,2017-12-04,,,['통신 방문판매업 등 현황']
식품의약품안전처 화장품 관련 정보,"식품의약품안전처에서 관리하는 화장품(심사품목,보고품목,제조판매 등)의 관련 정보 조회",2016-12-31,2017-12-13,정보화통계담당관,043-719-1611,['화장품 제조(판매)업 정보조회']
울산광역시_재해위험지구,"울산광역시 재해위험지구 정보(재해위험유형, 위험지역 등) 제공",2017-09-07,2017-09-08,스마트시티담당관,052-229-2361,['울산광역시 재해위험지구 목록']
[특허] 특허/실용신안 공보(REST),"1. 개요
한국 특허의 특허 / 실용신안 공개공보 및 등록공보로서 서지, 대표도, 전문정보 등을 API(REST방식)로 제공합니다.

2. 세부 정보 내용
① 검색: 일반검색 및 항목별검색 기능(XML)
② 서지데이터: 출원번호, 등록일자, 발명의 명칭, 등록상태 등(XML)
③ 도면/전문데이터: 공개 및 공고 전문, 대표도면(다운로드 경로)
④ 부가기능: 갱신 정보(XML)

3. 데이터 문의 및 이용 상담
한국특허정보원 IP정보활용지원센터
T) 02-6915-1423, E-mail) rawdata@kipi.or.kr, Web)http://plus.kipris.or.kr",2014-12-04,2017-11-17,"정보관리과,한국특허정보원 IP정보확산팀,한국특허정보원 IP정보확산팀",042-481-5137,"['일반검색(단어)', '항목별검색(전체검색)', '서지요약정보', '서지상세정보', '공개전문PDF', '공고전문PDF', '정정공고PDF', '대표도면', '변동정보']"
기상청 도로 날씨 정보,"CCTV 지점별 도로날씨정보 조회와 표준노드링크별 도로날씨정보 조회를 제공하며,
CCTV 지점별 도로날씨정보 조회는 CCTV 아이디, 기간(시간), 타입 등으로 요청하면 해당 CCTV 지점에서 영상을 분석한 도로날씨정보를 수집일시와 함께 제공한다.
표준노드링크별 도로날씨정보 조회는 표준노드링크 아이디, 기간(시간), 타입으로 요청하면 요청한 표준노드링크에 연결된 위험도가 높은 CCTV 영상분석 도로날씨정보를 수집일시와 함께 제공한다.
※ 추후 영동고속도로 외 다른 고속도로 정보도 제공될 예정입니다.",2018-01-25,2018-03-19,기상융합서비스과,02-2181-0913,"['CCTV 지점별 도로날씨정보 조회', '표준노드링크별 도로날씨정보 조회']"
전문연구/산업기능요원 지정업체 정보,전문연구/산업기능요원 지정업체 정보,2016-02-01,2017-01-03,,,['전문/산업지정업체정보목록조회서비스']
